add_soliton,num_solitons,base_soliton_angle,angle_jitter_deg,shot_photons,read_noise_std,gaussian_sigma,pixel_size,propagation_distance,phase_scale,blend,base_gain_low,base_gain_high,overexposure_prob,overexposure_gain_low,overexposure_gain_high,shift_i,shift_j,shift_prob,soliton_depth,soliton_width_px,fringe_gain,fringe_period_px,fringe_decay_px,fringe_phase,side_antisym,side_antisym_scale_px,diagonal_antisym,diagonal_antisym_scale_px,diagonal_angle_rad,y_fade_px,y_fade_power,disc_real_prob
False,0,0.0,0.9152687788009644,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029777945019304752,0.8999091982841492,0.8999123573303223,1.1188595294952393,1.1190990209579468,0.9990085959434509,1.1200000047683716,1.4199999570846558,-0.5985867977142334,-0.5059411525726318,8.662785262458783e-07,0.8200372457504272,1.4002565145492554,0.8001182079315186,11.000391960144043,5.234411239624023,0.015117421746253967,0.8377193212509155,9.0,-0.3986818194389343,15.0,0.0,25.002269744873047,1.899999976158142,0.8326205611228943
False,0,0.0,0.9341742992401123,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002987158950418234,0.8999364376068115,0.899956226348877,1.1191315650939941,1.119297742843628,0.999636173248291,1.1200000047683716,1.4199999570846558,-0.7375576496124268,-0.7659190893173218,2.8557693099173775e-07,0.8200215101242065,1.400124430656433,0.8000561594963074,11.000188827514648,5.2591705322265625,0.015335917472839355,0.8423142433166504,9.0,-0.3989517092704773,15.0,0.0,25.00105857849121,1.899999976158142,0.8297785520553589
False,0,0.0,0.9682751893997192,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029922127723693848,0.8999897837638855,0.8999907970428467,1.1197024583816528,1.1197788715362549,0.9998714923858643,1.1200000047683716,1.4199999570846558,-0.6158145666122437,-0.953510046005249,2.3174159480277012e-08,0.8200057148933411,1.4000216722488403,0.800011157989502,11.000035285949707,5.183665752410889,0.01734878495335579,0.8453226089477539,9.0,-0.39973437786102295,15.0,0.0,25.000194549560547,1.899999976158142,0.8296940326690674
True,1,0.0,0.9312978982925415,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002979537006467581,0.8999277353286743,0.8999472856521606,1.119215726852417,1.1193329095840454,0.9994737505912781,1.1200000047683716,1.4199999570846558,-0.5323373079299927,-0.7387932538986206,3.3751217642929987e-07,0.8200246691703796,1.400147795677185,0.8000680208206177,11.000261306762695,5.241959571838379,0.015542127192020416,0.8410108089447021,9.0,-0.39882466197013855,15.0,0.0,25.001136779785156,1.899999976158142,0.8288671374320984
False,0,0.0,0.9530601501464844,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029892176389694214,0.8999744653701782,0.8999773263931274,1.1195050477981567,1.1196345090866089,0.9997733235359192,1.1200000047683716,1.4199999570846558,-0.6384330987930298,-0.6445407867431641,8.82187976003479e-08,0.8200109601020813,1.400052547454834,0.8000290989875793,11.000117301940918,5.142729759216309,0.015081241726875305,0.8438870906829834,9.0,-0.3994092047214508,15.0,0.0,25.00047492980957,1.899999976158142,0.8261876702308655
False,0,0.0,0.9156469106674194,8,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.002970839850604534,0.89988774061203,0.8998943567276001,1.1187092065811157,1.118801474571228,0.9988295435905457,1.1200000047683716,1.4199999570846558,-0.5732803344726562,-0.5854344367980957,1.0418776810183772e-06,0.8200535178184509,1.4003844261169434,0.8001803755760193,11.000523567199707,5.306784629821777,0.014321133494377136,0.8314417600631714,9.0,-0.3977883458137512,15.0,0.0,25.003028869628906,1.899999976158142,0.8243354558944702
True,1,0.0,0.9051556587219238,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029672239907085896,0.8998016119003296,0.8998311758041382,1.1180932521820068,1.118531584739685,0.9985464215278625,1.1200000047683716,1.4199999570846558,-0.6140329837799072,-0.7632591724395752,2.19388448385871e-06,0.8200773596763611,1.4006106853485107,0.8002272844314575,11.000842094421387,5.412028789520264,0.015041377395391464,0.8289122581481934,9.0,-0.3974422812461853,15.0,0.0,25.004533767700195,1.899999976158142,0.8229315876960754
False,0,0.0,0.9298436641693115,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029818906914442778,0.8999367952346802,0.8999515771865845,1.1191478967666626,1.1192318201065063,0.999351441860199,1.1200000047683716,1.4199999570846558,-0.7028180360794067,-0.7125999927520752,4.204317178846395e-07,0.8200274109840393,1.4001410007476807,0.8000652194023132,11.000224113464355,5.257865905761719,0.015138152986764908,0.8395024538040161,9.0,-0.39877328276634216,15.0,0.0,25.001018524169922,1.899999976158142,0.8209192156791687
False,0,0.0,0.8923444747924805,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029745642095804214,0.899870753288269,0.8998841047286987,1.1187468767166138,1.1186389923095703,0.9987794756889343,1.1200000047683716,1.4199999570846558,-0.4565920829772949,-0.6805676221847534,1.5167879610089585e-06,0.8200558423995972,1.40042245388031,0.800155758857727,11.000468254089355,5.311616897583008,0.014104574918746948,0.8344212770462036,9.0,-0.3980361223220825,15.0,0.0,25.002525329589844,1.899999976158142,0.8208182454109192
True,1,0.0,0.969194769859314,9,0.03500000014901161,0.800000011920929,5.599999894911889e-06,0.0029941995162516832,0.8999881744384766,0.8999914526939392,1.1197062730789185,1.1197773218154907,0.9998984336853027,1.1200000047683716,1.4199999570846558,-0.5846748352050781,-0.7140781879425049,1.8845131677380778e-08,0.8200037479400635,1.400019884109497,0.8000082969665527,11.000031471252441,5.115187168121338,0.016592208296060562,0.8471232652664185,9.0,-0.39975735545158386,15.0,0.0,25.000146865844727,1.899999976158142,0.8202548027038574
